config,ablation,seed,ctrl_FWD,ctrl_REV,ctrl_OMG,ctrl_PIR,ctrl_QUI,abl_FWD,abl_REV,abl_OMG,abl_PIR,abl_QUI,dREV,dOMG,dPIR,dQUI,dFWD
v3.3,RIS / osmotic_shock,42,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,RIS / osmotic_shock,43,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,RIS / osmotic_shock,44,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,NSM / food,42,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,NSM / food,43,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,NSM / food,44,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,RIM / touch,42,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,RIM / touch,43,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,RIM / touch,44,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,AVA / touch,42,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,AVA / touch,43,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
v3.3,AVA / touch,44,0.03,0.0,0.05,0.0,0.92,0.03,0.0,0.05,0.0,0.92,0.0,0.0,0.0,0.0,0.0
